date_found,source_platform,source_url,card_name,card_type,company_name,company_website,app_store_link,play_store_link,parent_company,issuing_bank,ceo_or_founders,contact_email,physical_address,phone_number,terms_conditions_url,privacy_policy_url,notes
2026-08-13,Web (https://www.solcard.cc › Blog),https://www.solcard.cc/blog/best-crypto-debit-cards,Solcard Card,Debit/Credit,Solcard,https://www.solcard.cc,,,,,,,,,https://www.solcard.cc/blog/spend-crypto-without-taxes,,Best Crypto Debit & Credit Cards 2026: No-KYC & No-Fee Picks. Best ... The Coinbase Card is a Visa debit card tied to your Coinbase account.
2026-08-13,Web (https://www.genghis.pro › catalog › crypto-prepaid-cards),https://www.genghis.pro/catalog/crypto-prepaid-cards?srsltid=AfmBOooLY0yROibeOJKh7VKAgUwq0f8m5u2BlL0LHx_imv2WdntPfDZH,Genghis Card,Prepaid/Virtual,Genghis,https://www.genghis.pro,,,,,,,,,https://www.genghis.pro/terms-conditions,https://www.genghis.pro/privacy-policy,"Buy prepaid cards with crypto. Load a virtual Visa or Mastercard with Bitcoin, USDT and 300+ tokens. Instant delivery, zero fees, no KYC."
2026-08-13,Web (https://majority.com › Home › Visa Debit Card),https://majority.com/en/us/visa-debit-card/no-ssn?srsltid=AfmBOorJPyVshmYKXza-o4ibAwSROFv2CewcIUuYs9EMwQiIU0BDezvC,Majority Card,Debit,Majority,https://majority.com,,,,,,,,,https://majority.com/en/terms-of-use,,"Get a free MAJORITY Visa® Debit Card whether or not you have an SSN and save with cashback, discounts, no hidden fees, and more."
2026-08-13,App Store,https://apps.apple.com/ci/app/cheapest-visa-cards-bitsika/id1478570397?l=en-GB,âCheapest Visa Cards - Bitsika App,Debit/Virtual,,https://apps.apple.com,https://apps.apple.com/us/iphone/today,,,,,,,,https://www.apple.com/legal/internet-services/,https://www.apple.com/legal/privacy/data/en/app-store/,"No ID or KYC Needed to Get Started. With Bitsika, you don't need to submit an ID or complete any KYC verification to create or top up your virtual Visa debit ..."
2026-08-13,App Store,https://apps.apple.com/ca/app/ownr-digital-wallet/id1459364947,âOWNR Digital Wallet App,Unknown,,https://apps.apple.com,https://apps.apple.com/us/iphone/today,,,,,,,,https://www.apple.com/legal/internet-services/,https://www.apple.com/legal/privacy/data/en/app-store/,"service is fast and secure payment process, no KYC verification, instant email delivery. Manage all crypto and Visa card in a single app, swiftly and simply. ..."
2026-08-13,App Store,https://apps.apple.com/us/app/coinzoom-buy-spend-send-btc/id1575983875,"âCoinZoom Buy, Spend, Send BTC App",Debit,Developer Response,https://apps.apple.com,https://apps.apple.com/us/iphone/today,,,,,,,,https://www.apple.com/legal/internet-services/,https://www.apple.com/legal/privacy/data/en/app-store/,"Get a crypto debit card for everyday spending & travel. Low cost deposits at $1.99. Visa Debit Card CARD. KYC were a breeze, easy to log into, obtain a visa ..."
2026-08-13,App Store,https://apps.apple.com/us/app/oppi-crypto-wallet-card/id6502544148,âOppi: Crypto Wallet &amp; Card App,Virtual,Developer Response,https://apps.apple.com,https://apps.apple.com/us/iphone/today,,,,,,,,https://www.apple.com/legal/internet-services/,https://www.apple.com/legal/privacy/data/en/app-store/,Get your own virtual Mastercard crypto card right in the app. Order the VISA-backed card for a small one-time fee and use it at any ATM or shop that accepts ...
2026-08-13,App Store,https://apps.apple.com/ca/app/aix-pay-crypto-card-wallet/id6760390460,âAIX Pay: Crypto Card &amp; Wallet App,Unknown,,https://apps.apple.com,https://apps.apple.com/us/iphone/today,,,,,,,,https://www.apple.com/legal/internet-services/,https://www.apple.com/legal/privacy/data/en/app-store/,"AIX Pay turns USDT, USDC, and other stablecoins into everyday spending with a Visa card you can use at 175M+ merchants and ATMs. No bank account. ... Our ..."
2026-08-13,Web (https://www.cryptocards.so › ...),https://www.cryptocards.so/en,Cryptocards Card,Virtual,Cryptocards,https://www.cryptocards.so,,,,,,,,,https://www.cryptocards.so/en/terms,https://www.cryptocards.so/en/privacy,Get Your Card. Showing 115 cards. Score (High → Low). Sponsored Cards. WaldenPay logo. WaldenPay ... Virtual CardVisaNo KYC. BTCETHUSDTUSDC+4. Fee: Free. 6.2/10.
2026-08-13,Web (https://www.facebook.com › currenciesdirectspain › posts),https://www.facebook.com/currenciesdirectspain/posts/meet-your-wallets-perfect-partner-%EF%B8%8Fthe-currencies-direct-multi-currency-debit-ca/823403302935456/,Facebook Card,Unknown,Facebook,https://www.facebook.com,,,,,,,,,,,•Visa / Mastercard •Smooth transaction ... no KYC verification required. Even if you can ... Download the app and order card. Revolut - Beyond ... | Could not fetch website
2026-08-13,Web (أكثر من 510 معجب · قبل سنة واحدة),https://www.instagram.com/reel/DJ2HK6ONBF9/?hl=ar,Instagram Card,Virtual,Instagram,https://www.instagram.com,,,,,,,,,,,"... after So... What's actually stopping you? Balance $5,000 VISA Sign up today. Click the link in Bio EverTry. ugequitybank's profile picture."
